rapport,nom_mandataire,id_msp,date_obs,heure_obs,type_obs,marq_sol,glace_chen,long_wgs84,lat_wgs84,err_xy_cm,alt_m_cgvd,err_z_cm,producteur,version,date_heure_obs
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/BVSM-17.pdf"" target=""_blank"">BVSM-17</a>",BVSM-17,"1",2017/04/30,17:00:00,MAX,,,-72.7445729084,47.5843229747,5,157.53,5,Initiative du MSP (depuis 2017),2025/07/09,2017/04/30 17:00:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/BVSM-17.pdf"" target=""_blank"">BVSM-17</a>",BVSM-17,"2",2017/04/30,17:00:00,MAX,,,-72.7443763823,47.5844815251,5,157.56,5,Initiative du MSP (depuis 2017),2025/07/09,2017/04/30 17:00:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/BVSM-17.pdf"" target=""_blank"">BVSM-17</a>",BVSM-17,"3",2017/05/03,15:30:00,MAX,,,-72.6812054362,47.5199945062,5,187.87,5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/03 15:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"4",2017/05/07,11:30:00,ACT,,,-72.9416240502,46.2331423247,0,7.2105,3,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 11:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"5",2017/05/07,11:50:00,ACT,,,-72.9255640421,46.244934048,0,7.3763,3.4,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 11:50:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"6",2017/05/07,12:05:00,ACT,,,-72.9334948381,46.2319483121,0,7.1857,1.9,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 12:05:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"7",2017/05/07,12:45:00,ACT,,,-72.9276396623,46.2253218577,0,7.0168,4.4,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 12:45:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"8",2017/05/07,13:05:00,ACT,,,-72.872520727,46.2648537569,0,6.972,5.4,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 13:05:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"9",2017/05/07,14:10:00,ACT,,,-72.7250769643,46.2928207541,0,7.064,0.6,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 14:10:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"10",2017/05/07,14:40:00,ACT,,,-72.5822090149,46.3024145975,0,6.8118,5.7,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 14:40:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"11",2017/05/07,15:35:00,ACT,,,-72.9116524949,46.2967819275,0,9.0227,2.9,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 15:35:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"12",2017/05/07,16:00:00,ACT,,,-73.0596480947,46.4145342203,0,153.5968,4.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 16:00:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/OBVRLY-17.pdf"" target=""_blank"">OBVRLY-17</a>",OBVRLY-17,"13",2017/05/07,16:15:00,ACT,,,-73.1325191614,46.4226756734,0,154.7017,1.2,Initiative du MSP (depuis 2017),2025/07/09,2017/05/07 16:15:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"14",2017/05/08,15:04:00,MAX,,,-74.3297234726,45.4948023464,2.5,25.012,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 15:04:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"15",2017/05/08,15:13:00,MAX,,,-74.3281101152,45.4940676957,2.5,24.988,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 15:13:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"16",2017/05/08,15:19:00,MAX,,,-74.323780808,45.4929003154,2.5,24.996,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 15:19:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"17",2017/05/08,15:24:00,MAX,,,-74.3193620142,45.492832711,2.5,25.006,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 15:24:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"18",2017/05/08,13:30:00,MAX,,,-74.3799845854,45.5615702144,2.5,25.261,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"19",2017/05/08,13:30:00,MAX,,,-74.3794107852,45.5611920953,2.5,25.459,5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"20",2017/05/08,13:30:00,MAX,,,-74.3803864031,45.5617398331,2.5,25.225,5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"21",2017/05/08,13:30:00,MAX,,,-74.3781175392,45.5603042152,2.5,25.349,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"22",2017/05/08,13:30:00,MAX,,,-74.3769743341,45.5596405507,2.5,25.267,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"23",2017/05/08,13:30:00,MAX,,,-74.3635595438,45.5292690074,2.5,25.058,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"24",2017/05/08,13:30:00,MAX,,,-74.3637230335,45.5292322451,2.5,25.03,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"25",2017/05/08,13:30:00,MAX,,,-74.3650917003,45.5283395755,2.5,25.033,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 13:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"26",2017/05/08,14:30:00,MAX,,,-74.2495022397,45.4820231261,2.5,24.895,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"27",2017/05/08,14:30:00,MAX,,,-74.1869540201,45.474149207,2.5,24.972,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"28",2017/05/08,14:30:00,MAX,,,-74.1870217032,45.4742269876,2.5,24.884,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"29",2017/05/08,14:30:00,MAX,,,-74.1870799082,45.4741972389,2.5,24.982,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"30",2017/05/08,14:30:00,MAX,,,-74.1422053214,45.4615095743,2.5,24.847,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"31",2017/05/08,14:30:00,MAX,,,-74.1421666171,45.4614782259,2.5,24.819,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"32",2017/05/08,14:30:00,MAX,,,-74.1421607804,45.4615127314,2.5,24.823,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"33",2017/05/08,14:30:00,MAX,,,-74.1260909256,45.4581171481,2.5,24.809,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"34",2017/05/08,14:30:00,MAX,,,-74.1048009605,45.4422588624,2.5,24.927,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"35",2017/05/08,14:30:00,MAX,,,-74.0935382229,45.4402046557,2.5,24.892,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"36",2017/05/08,14:30:00,MAX,,,-74.1036918104,45.4416142985,2.5,24.827,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"37",2017/05/08,14:14:00,MAX,,,-74.3628687107,45.5465212882,2.5,25.281,5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:14:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"38",2017/05/08,14:22:00,MAX,,,-74.3617678393,45.5446337121,2.5,25.236,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:22:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"39",2017/05/08,14:30:00,MAX,,,-74.2005274589,45.4785078607,2.5,24.879,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"40",2017/05/08,14:54:00,MAX,,,-74.3429523972,45.5054193731,2.5,25.031,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:54:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"41",2017/05/08,14:30:00,MAX,,,-74.1394526619,45.4598588907,2.5,24.914,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"42",2017/05/08,14:30:00,MAX,,,-74.104825275,45.4423691189,2.5,25.036,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"43",2017/05/08,14:30:00,MAX,,,-74.1031748584,45.4412812763,2.5,24.988,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"44",2017/05/08,14:30:00,MAX,,,-74.092605769,45.4400074072,2.5,24.828,5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"45",2017/05/08,14:30:00,MAX,,,-74.0929416882,45.439998915,2.5,24.801,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"46",2017/05/08,14:30:00,MAX,,,-74.0930433583,45.4400561398,2.5,24.874,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"47",2017/05/08,14:30:00,MAX,,,-74.1026755065,45.4410075303,2.5,24.958,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/COVABERVS-17.pdf"" target=""_blank"">COVABERVS-17</a>",COVABERVS-17,"48",2017/05/08,14:30:00,MAX,,,-74.1025740802,45.4409813671,2.5,24.844,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 14:30:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"49",2017/05/08,08:35:00,MAX,,,-72.5784324978,46.2852088637,2.5,6.66,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:35:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"50",2017/05/08,08:35:00,MAX,,,-72.5782672465,46.285234883,2.5,6.67,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:35:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"51",2017/05/08,08:35:00,MAX,,,-72.5788299341,46.2854837831,2.5,6.7,12.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:35:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"52",2017/05/08,08:35:00,MAX,,,-72.5784711118,46.2851737253,2.5,6.86,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:35:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"53",2017/05/08,11:15:00,MAX,,,-72.280406322,46.4066472498,2.5,5.9,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 11:15:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"54",2017/05/08,11:15:00,MAX,,,-72.2806067991,46.406791003,2.5,5.81,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 11:15:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"55",2017/05/08,11:15:00,MAX,,,-72.2807593717,46.4067673475,2.5,5.84,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 11:15:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"56",2017/05/08,08:40:00,MAX,,,-72.5732038227,46.2862951217,2.5,6.77,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:40:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"57",2017/05/08,08:40:00,ACT,,,-72.573061896,46.2862536637,2.5,6.77,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:40:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"58",2017/05/08,08:40:00,ACT,,,-72.5726871549,46.2858811077,2.5,6.77,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:40:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"59",2017/05/08,08:45:00,MAX,,,-72.5715781886,46.2893388357,2.5,6.75,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:45:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"60",2017/05/08,08:45:00,MAX,,,-72.57159316,46.2892823647,2.5,6.76,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:45:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"61",2017/05/08,08:46:00,MAX,,,-72.5715417352,46.289253425,2.5,6.75,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:46:00
"<a href=""/apis/depot/projects/delaisses_crue_rapports/file/GROBEC-17.pdf"" target=""_blank"">GROBEC-17</a>",GROBEC-17,"62",2017/05/08,08:47:00,MAX,,,-72.571492761,46.2892254065,2.5,6.72,2.5,Initiative du MSP (depuis 2017),2025/07/09,2017/05/08 08:47:00
