"Identification de la station","Nom de la station","Province/Territoire","Bassin","Latitude","Longitude","Agence d'exploitation","Calendrier d'opération","Mois de début","Mois de fin","Status"
"01AA002","DAAQUAM (RIVIERE) EN AVAL DE LA RIVIERE SHIDGEL","QC","01","46.55750","-70.08111","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01AD001","MADAWASKA (RIVIÈRE) À 6 KM EN AVAL DU BARRAGE TÉMISCOUATA","QC","01","47.54833","-68.63639","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"01AD005","MADAWASKA (RIVIERE) AU RESERVOIR TEMISCOUATA","QC","01","47.57056","-68.64306","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"01AD008","LONG (LAC) PRES DE LES ETROITS","QC","01","47.39083","-68.89833","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01AD009","CABANO (RIVIERE) AU LAC LONG","QC","01","47.46444","-69.00194","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01AD012","SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS","QC","01","47.72472","-69.28333","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"01AD013","SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS","QC","01","47.71917","-69.28389","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01AD014","POHENEGAMOOK (LAC) A ESTCOURT","QC","01","47.46000","-69.22556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"01AD015","MADAWASKA (RIVIÈRE) À 6 KM EN AVAL DU BARRAGE TÉMISCOUATA","QC","01","47.53850","-68.59180","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"01BD001","MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN","QC","01","48.08444","-67.09861","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BD002","MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN","QC","01","48.08667","-67.10056","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"01BD004","MATAPEDIA (LAC) A VAL-BRILLANT","QC","01","48.53389","-67.54556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BD005","LAC AU SAUMON","QC","01","48.42111","-67.32417","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"01BD008","MATAPEDIA (RIVIERE) PRES DE AMQUI","QC","01","48.49167","-67.45000","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"01BD009","MATAPEDIA (RIVIERE) A 4 KM EN AMONT DE L'ASSEMETQUAGAN","QC","01","48.10790","-67.13020","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"01BF001","NOUVELLE (RIVIERE) AU PONT","QC","01","48.15722","-66.34944","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"01BF002","NOUVELLE (RIVIERE) EN AVAL DU PONT","QC","01","48.13556","-66.31944","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"01BF003","NOUVELLE (RIVIERE) EN AMONT DU PONT","QC","01","48.16167","-66.38028","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"01BF004","NOUVELLE (RIVIÈRE) A 0,2 KM EN AMONT DU PONT-ROUTE 132 A NOUVELLE","QC","01","48.15880","-66.34880","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"01BG001","CASCAPEDIA (PETITE RIVIERE) EN AMONT DU PONT","QC","01","48.18917","-65.81194","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BG002","BONAVENTURE (RIVIERE) EN AMONT DU PONT","QC","01","48.10000","-65.46167","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
